,Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Page start,Page end,Cited by,DOI,Link,Document Type,Open Access,Abstract,Keywords,Text
3736,"Belyi, D., Popova, E., Morton, D.P., Damien, P.",35955677800; 7202031873; 7401545417; 6701384166,Bayesian failure-rate modeling and preventive maintenance optimization,2017,European Journal of Operational Research,262.0,3.0,1085.0,1093.0,22.0,10.1016/j.ejor.2017.04.019,https://www.scopus.com/inward/record.url?eid=2-s2.0-85018970493&partnerID=40&md5=646228c44d88ad345606fd3e94a7f14a,Article,,"© 2017 Elsevier B.V.New results are derived for the optimal preventive maintenance schedule of a single item over a finite horizon, based on Bayesian models of a failure rate function. Two types of failure rate functions—increasing and bathtub shapes—are considered. For both cases, optimality conditions and efficient algorithms to find an optimal maintenance schedule are given. A Bayesian parametric model for bathtub-shaped failure rate functions is used, while the class of increasing failure rate functions are tackled by an extended gamma process. We illustrate both approaches using real failure time data from the South Texas Project Nuclear Operating Company in Bay City, Texas.","('Bayesian nonparametrics', 'Maintenance optimization', 'Markov chain Monte Carlo', 'Stochastic optimization')",bayesian failur rate model prevent mainten optim elsevi b v new result deriv optim prevent mainten schedul singl item finit horizon base bayesian model failur rate function two type failur rate function increas bathtub shape are consid for case optim condit effici algorithm find optim mainten schedul given a bayesian parametr model bathtub shape failur rate function use class increas failur rate function tackl extend gamma process we illustr approach use real failur time data south texa project nuclear oper compani bay citi texa bayesian nonparametr mainten optim markov chain mont carlo stochast optim
3775,"Zhang, X., Zeng, J.",56159268600; 7402652251,Joint optimization of condition-based opportunistic maintenance and spare parts provisioning policy in multiunit systems,2017,European Journal of Operational Research,262.0,2.0,479.0,498.0,70.0,10.1016/j.ejor.2017.03.019,https://www.scopus.com/inward/record.url?eid=2-s2.0-85017382331&partnerID=40&md5=f14c3884b3a0f9e84beaaf07a4935456,Article,,"© 2017 Elsevier B.V.This study investigates the joint optimization of the strategy for periodic condition-based opportunistic preventive maintenance (CBOM) and a safety policy for the provision of spare parts for multiunit systems with a known number of identical units. Under this policy, maintenance activities as well as the ordering and holding activities for spare parts at each decision point are determined according to the maintenance requirement determined by the state of deterioration of the entire system and the state of the spare parts inventory. On the basis of the derivation of all possible maintenance and spare-parts-related activities at each decision point and their corresponding probabilities, an expected long-run cost rate model is formulated for a general, identical multiunit system to determine its joint optimal strategy. This is accomplished by using semiregenerative process theory that takes into account the cost of maintenance and that of the management of the spare parts inventory. In this model, all possible maintenance requirements and their probabilities are derived using the deterioration state-space partitioning method combined with the derivation of the stationary law of the system state affected by opportunistic maintenance. Further, maintenance activities, the ordering and holding actions for spare parts, and their corresponding probabilities are all determined on this basis. Finally, a case study is carried out to test the proposed optimization method. This involves a wind power farm consisting of a large number of identical main bearings in the turbines. Furthermore, a sensitivity analysis was conducted to analyze the effects of the model.","('Deterioration state-space partitioning method', 'Joint optimization', 'Maintenance', 'Multiunit system', 'Spare parts provision')",joint optim condit base opportunist mainten spare part provis polici multiunit system elsevi b v this studi investig joint optim strategi period condit base opportunist prevent mainten cbom safeti polici provis spare part multiunit system known number ident unit under polici mainten activ well order hold activ spare part decis point determin accord mainten requir determin state deterior entir system state spare part inventori on basi deriv possibl mainten spare part relat activ decis point correspond probabl expect long run cost rate model formul general ident multiunit system determin joint optim strategi this accomplish use semiregen process theori take account cost mainten manag spare part inventori in model possibl mainten requir probabl deriv use deterior state space partit method combin deriv stationari law system state affect opportunist mainten further mainten activ order hold action spare part correspond probabl determin basi final case studi carri test propos optim method this involv wind power farm consist larg number ident main bear turbin furthermor sensit analysi conduct analyz effect model deterior state space partit method joint optim mainten multiunit system spare part provis
3849,"Zhou, W., Zheng, Z., Xie, W.",7404516392; 57189462779; 57214943593,A control-chart-based queueing approach for service facility maintenance with energy-delay tradeoff,2017,European Journal of Operational Research,261.0,2.0,613.0,625.0,10.0,10.1016/j.ejor.2017.03.026,https://www.scopus.com/inward/record.url?eid=2-s2.0-85016422004&partnerID=40&md5=5a7d6057bbecc7d224daf69b7495f7a7,Article,,"© 2017 Elsevier B.V.Maintenance planning and energy consumption control are critical issues in facility operations management. In practice, the energy consumption of a facility, which will be affected by the operation condition, is closely connected with the associated maintenance policy. Specifically, for an energy-consuming service system, though a frequent maintenance activity can keep the facility in a good condition with low energy consumption, it makes the delay time longer and leads to a poor customer experience. In this paper, we study a single-server queueing system with different energy consumption levels in the associated running states to address the conflict between energy consumption and customer delay. Two types of maintenance activities are implemented for the server, i.e., the planned maintenance and the reactive maintenance. The planned maintenance is adopted based on a frequency parameter at the beginning of an idle period, and the reactive maintenance is initialized by the Shewhart's individual control chart (condition-based maintenance). To capture the energy-delay tradeoff, our objective is to develop an optimal maintenance policy that minimizes the long-run expected total cost of the system under a customer waiting time constraint. Numerical experiments are conducted to analyze the problem, in which useful managerial insights are obtained for the optimal maintenance policy. The results demonstrate the robustness of the proposed maintenance model, its advantage over the model without control chart, and its applicability in general situations.","('Control chart', 'Energy-delay tradeoff', 'Maintenance', 'OR in energy', 'Queueing system')",a control chart base queue approach servic facil mainten energi delay tradeoff elsevi b v mainten plan energi consumpt control critic issu facil oper manag in practic energi consumpt facil affect oper condit close connect associ mainten polici specif energi consum servic system though frequent mainten activ keep facil good condit low energi consumpt make delay time longer lead poor custom experi in paper studi singl server queue system differ energi consumpt level associ run state address conflict energi consumpt custom delay two type mainten activ implement server i e plan mainten reactiv mainten the plan mainten adopt base frequenc paramet begin idl period reactiv mainten initi shewhart s individu control chart condit base mainten to captur energi delay tradeoff object develop optim mainten polici minim long run expect total cost system custom wait time constraint numer experi conduct analyz problem use manageri insight obtain optim mainten polici the result demonstr robust propos mainten model advantag model without control chart applic general situat control chart energi delay tradeoff mainten or energi queue system
3854,"Olde Keizer, M.C.A., Flapper, S.D.P., Teunter, R.H.",57132963900; 6602622056; 6603970831,Condition-based maintenance policies for systems with multiple dependent components: A review,2017,European Journal of Operational Research,261.0,2.0,405.0,420.0,220.0,10.1016/j.ejor.2017.02.044,https://www.scopus.com/inward/record.url?eid=2-s2.0-85015866126&partnerID=40&md5=3e1ab7e7b835ba237d08ea428e42380b,Review,"All Open Access, Green","© 2017 Elsevier B.V.Condition-based maintenance (CBM) has received increasing attention in the literature over the past years. The application of CBM in practice, however, is lagging behind. This is, at least in part, explained by the complexity of real-life systems as opposed to the stylized ones studied most often. To overcome this issue, research is focusing more and more on complex systems, with multiple components subject to various dependencies. Existing classifications of these dependencies in the literature are no longer sufficient. Therefore, we provide an extended classification scheme. Besides the types of dependencies identified in the past (economic, structural, and stochastic), we add resource dependence, where multiple components are connected through, e.g., shared spares, tools, or maintenance workers. Furthermore, we extend the existing notion of structural dependence by distinguishing between structural dependence from a technical point of view and structural dependence from a performance point of view (e.g., through a series or parallel setting). We review the advances made with respect to CBM. Our main focus is on the implications of dependencies on the structure of the optimal CBM policy. We link our review to practice by providing real-life examples, thereby stressing current gaps in the literature.","('Condition-based maintenance', 'Dependencies', 'Maintenance', 'Multi-component', 'Review')",condit base mainten polici system multipl depend compon a review elsevi b v condit base mainten cbm receiv increas attent literatur past year the applic cbm practic howev lag behind this is least part explain complex real life system oppos styliz one studi often to overcom issu research focus complex system multipl compon subject various depend exist classif depend literatur longer suffici therefor provid extend classif scheme besid type depend identifi past econom structur stochast add resourc depend multipl compon connect through e g share spare tool mainten worker furthermor extend exist notion structur depend distinguish structur depend technic point view structur depend perform point view e g seri parallel set we review advanc made respect cbm our main focus implic depend structur optim cbm polici we link review practic provid real life exampl therebi stress current gap literatur condit base mainten depend mainten multi compon review
4008,"Samuelson, A., Haigh, A., O'Reilly, M.M., Bean, N.G.",57192817701; 55366009400; 9278999300; 7006628478,Stochastic model for maintenance in continuously deteriorating systems,2017,European Journal of Operational Research,259.0,3.0,1169.0,1179.0,9.0,10.1016/j.ejor.2016.11.032,https://www.scopus.com/inward/record.url?eid=2-s2.0-85008198066&partnerID=40&md5=334510d20958b9bc3c352f31ecb73320,Article,,"© 2016 Elsevier B.V.We construct a stochastic model for maintenance suitable for the analysis of real-life systems which deteriorate over time before they eventually fail and are replaced. The model uses a continuous deterioration level, where the rate of change depends on the current operating mode as well as the current level of deterioration. We demonstrate how to construct a model in which the uncertainty about the state of deterioration, when the system is not continuously observed, is accurately represented. This feature addresses some drawbacks of previous work that is known to cause modelling errors. The key performance measures for this model can be evaluated efficiently using existing algorithms. The theory is illustrated using numerical examples, in which we discuss how this model can be used in a practical evaluation of different maintenance strategies.","('Deterioration', 'Markov driven fluid process', 'Matrix-analytic methods', 'Stochastic model for maintenance', 'Stochastic processes')",stochast model mainten continu deterior system elsevi b v we construct stochast model mainten suitabl analysi real life system deterior time eventu fail replac the model use continu deterior level rate chang depend current oper mode well current level deterior we demonstr construct model uncertainti state deterior system continu observ accur repres this featur address drawback previous work known caus model error the key perform measur model evalu effici use exist algorithm the theori illustr use numer exampl discuss model use practic evalu differ mainten strategi deterior markov driven fluid process matrix analyt method stochast model mainten stochast process
4113,"Pennings, C.L.P., van Dalen, J., van der Laan, E.A.",57191981446; 36780667100; 6701566007,Exploiting elapsed time for managing intermittent demand for spare parts,2017,European Journal of Operational Research,258.0,3.0,958.0,969.0,15.0,10.1016/j.ejor.2016.09.017,https://www.scopus.com/inward/record.url?eid=2-s2.0-84995549493&partnerID=40&md5=080c376dabff2937612369518e7c8fb7,Article,,"© 2016 Elsevier B.V.We present an intermittent demand forecasting method that conditions on the elapsed time since the last demand occurrence to anticipate incoming demand and show, using empirical data, that this can substantially reduce both stock investment and lost revenue for spare parts management. We extensively benchmark our method against existing forecasting and bootstrapping methods on forecast accuracy and inventory performance and demonstrate that its performance is robust under general conditions. Our method is the first to incorporate that activities at the demand side, such as aggregation of demand, preventive and corrective maintenance, can lead to a positive relation between demand size and inter-arrival time of demand occurrences. By anticipating incoming demand, our method offers substantial financial gains.","('Bootstrap', 'Croston', 'Intermittent demand', 'Spare parts', 'Stock control')",exploit elaps time manag intermitt demand spare part elsevi b v we present intermitt demand forecast method condit elaps time sinc last demand occurr anticip incom demand show use empir data substanti reduc stock invest lost revenu spare part manag we extens benchmark method exist forecast bootstrap method forecast accuraci inventori perform demonstr perform robust general condit our method first incorpor activ demand side aggreg demand prevent correct mainten lead posit relat demand size inter arriv time demand occurr by anticip incom demand method offer substanti financi gain bootstrap croston intermitt demand spare part stock control
4195,"Huang, Y.-S., Huang, C.-D., Ho, J.-W.",7501572641; 57191966384; 24758961500,A customized two-dimensional extended warranty with preventive maintenance,2017,European Journal of Operational Research,257.0,3.0,971.0,978.0,86.0,10.1016/j.ejor.2016.07.034,https://www.scopus.com/inward/record.url?eid=2-s2.0-84995459723&partnerID=40&md5=5455479e096139e34ae0ba166e0e7862,Article,,"© 2016 Elsevier B.V.This study proposes a customized two-dimensional extended warranty policy, in which customers are classified into three categories with different operating conditions according to their maintenance records in the basic warranty period, and then different preventive maintenance (PM) schedules are applied to customers in the different categories. This study investigates the effects that the classification of a customer and the time-usage ratio of the repairable deteriorating product have on breakdowns of such a product to effectively manage the total costs within the extended warranty period. Periodic and non-periodic preventive maintenance programs are both considered to meet different customer requirements to ensure that product reliability would not be gradually unacceptable. By adopting the proposed extended warranty approach, customers with high utilization rates could have satisfactory reliability on their products by performing more frequent PM activities, while those with low and average utilization rates could reduce the cost of PM within the extended warranty period, and also enjoy acceptable product availability. The results show that the classification of customers into different categories cannot only be beneficial by providing an effective mechanism to reduce the warranty costs, but also be a valuable competitive marketing strategy for product providers.","('Extended warranty', 'Non-periodic preventive maintenance', 'Pro rata warranty')",a custom two dimension extend warranti prevent mainten elsevi b v this studi propos custom two dimension extend warranti polici custom classifi three categori differ oper condit accord mainten record basic warranti period differ prevent mainten pm schedul appli custom differ categori this studi investig effect classif custom time usag ratio repair deterior product breakdown product effect manag total cost within extend warranti period period non period prevent mainten program consid meet differ custom requir ensur product reliabl would gradual unaccept by adopt propos extend warranti approach custom high util rate could satisfactori reliabl product perform frequent pm activ low averag util rate could reduc cost pm within extend warranti period also enjoy accept product avail the result show classif custom differ categori cannot benefici provid effect mechan reduc warranti cost also valuabl competit market strategi product provid extend warranti non period prevent mainten pro rata warranti
4223,"Chen, Y., Cowling, P., Polack, F., Remde, S., Mourdjis, P.",56590700100; 7004182371; 8727617800; 14034728200; 56593010500,Dynamic optimisation of preventative and corrective maintenance schedules for a large scale urban drainage system,2017,European Journal of Operational Research,257.0,2.0,494.0,510.0,24.0,10.1016/j.ejor.2016.07.027,https://www.scopus.com/inward/record.url?eid=2-s2.0-84994726560&partnerID=40&md5=dae85ca76d761f625218e9ad1716be10,Article,"All Open Access, Green","© 2016 Elsevier B.V.Gully pots or storm drains are located at the side of roads to provide drainage for surface water. We consider gully pot maintenance as a risk-driven maintenance problem. We explore policies for preventative and corrective maintenance actions, and build optimised routes for maintenance vehicles. Our solutions take the risk impact of gully pot failure and its failure behaviour into account, in the presence of factors such as location, season and current status. The aim is to determine a maintenance policy that can automatically adjust its scheduling strategy in line with changes in the local environment, to minimise the surface flooding risk due to clogged gully pots. We introduce a rolling planning strategy, solved by a hyper-heuristic method. Results show the behaviour and strength of the automated adjustment in a range of real-world scenarios.","('Large scale optimisation', 'Maintenance', 'Routing', 'Scheduling')",dynam optimis prevent correct mainten schedul larg scale urban drainag system elsevi b v gulli pot storm drain locat side road provid drainag surfac water we consid gulli pot mainten risk driven mainten problem we explor polici prevent correct mainten action build optimis rout mainten vehicl our solut take risk impact gulli pot failur failur behaviour account presenc factor locat season current status the aim determin mainten polici automat adjust schedul strategi line chang local environ minimis surfac flood risk due clog gulli pot we introduc roll plan strategi solv hyper heurist method result show behaviour strength autom adjust rang real world scenario larg scale optimis mainten rout schedul
4250,"Müller-Fürstenberger, G., Schumacher, I.",6506042961; 23487305700,"The consequences of a one-sided externality in a dynamic, two-agent framework",2017,European Journal of Operational Research,257.0,1.0,310.0,322.0,4.0,10.1016/j.ejor.2016.07.045,https://www.scopus.com/inward/record.url?eid=2-s2.0-84992459482&partnerID=40&md5=b9beabfed0dd7c7591a56d854f7ccdf3,Article,,"© 2016 Elsevier B.V.We develop a dynamic model where all agents contribute to a global externality, but only those in a specific region suffer from it. We model this in a dynamic setting via a two agent, non-cooperative overlapping generations model and analyze the consequences for economic growth and intertemporal choices. We find that multiple steady states may result from this asymmetry. In particular, if the agent who is affected by the externality has to spend a large share of his income to offset it, then he may be stuck in an environmental poverty trap. We provide conditions for the existence of, and local convergence to, the equilibria, as well as a condition for the global convergence to the poverty trap. While, in addition to maintenance expenditures, externalities tend to be addressed via studying taxes, investment in R&D or alike, we focus on capital market integration. Specifically, agents in the affected region can open up their capital market to enable capital inflows. We investigate whether an open capital market improves or worsens their welfare. While we do find that capital market integration eliminates the environmental poverty trap, we show that capital market integration is not always in both agents’ interest. In particular, we provide conditions under which the agents prefer autarkic or integrated capital markets.","('Capital market integration', 'Environmental quality', 'Overlapping generations', 'Poverty trap')",the consequ one side extern dynam two agent framework elsevi b v we develop dynam model agent contribut global extern specif region suffer it we model dynam set via two agent non cooper overlap generat model analyz consequ econom growth intertempor choic we find multipl steadi state may result asymmetri in particular agent affect extern spend larg share incom offset it may stuck environment poverti trap we provid condit exist of local converg to equilibria well condit global converg poverti trap while addit mainten expenditur extern tend address via studi tax invest r d alik focus capit market integr specif agent affect region open capit market enabl capit inflow we investig whether open capit market improv worsen welfar while find capit market integr elimin environment poverti trap show capit market integr alway agent interest in particular provid condit agent prefer autark integr capit market capit market integr environment qualiti overlap generat poverti trap
4259,"Zamorano, E., Stolletz, R.",56180890600; 8330049600,Branch-and-price approaches for the Multiperiod Technician Routing and Scheduling Problem,2017,European Journal of Operational Research,257.0,1.0,55.0,68.0,55.0,10.1016/j.ejor.2016.06.058,https://www.scopus.com/inward/record.url?eid=2-s2.0-84992450913&partnerID=40&md5=d290eaa382111cfa376d05f025f2eb16,Article,,"© 2016 Elsevier B.V.This paper addresses a technician routing and scheduling problem motivated by the case of an external maintenance provider. Technicians are proficient in different skills and paired into teams to perform maintenance tasks. Tasks are skill constrained and have time windows that may span multiple days. The objective is to determine the daily assignment of technicians into teams, of teams to tasks, and of teams to daily routes such that the operation costs are minimized. We propose a mixed integer program and a branch-and-price algorithm to solve this problem. Exploiting the structure of the problem, alternative formulations are used for the column generation-phase of the algorithm. Using real-world data from an external maintenance provider, we conduct numerical studies to evaluate the performance of our proposed solution approaches.","('Branch-and-price', 'Maintenance', 'Scheduling', 'Vehicle routing')",branch and price approach multiperiod technician rout schedul problem elsevi b v this paper address technician rout schedul problem motiv case extern mainten provid technician profici differ skill pair team perform mainten task task skill constrain time window may span multipl day the object determin daili assign technician team team task team daili rout oper cost minim we propos mix integ program branch and price algorithm solv problem exploit structur problem altern formul use column generat phase algorithm use real world data extern mainten provid conduct numer studi evalu perform propos solut approach branch and price mainten schedul vehicl rout
4262,"Olde Keizer, M.C.A., Teunter, R.H., Veldman, J.",57132963900; 6603970831; 7006925880,Joint condition-based maintenance and inventory optimization for systems with multiple components,2017,European Journal of Operational Research,257.0,1.0,209.0,222.0,78.0,10.1016/j.ejor.2016.07.047,https://www.scopus.com/inward/record.url?eid=2-s2.0-84992449496&partnerID=40&md5=6c9056e030636fdbcb51932dcdfb22ea,Article,"All Open Access, Green","© 2016 Elsevier B.V.Efficient (condition-based) maintenance planning and inventory control of spares for critical components jointly determine the effectiveness of a maintenance strategy and, thereby, balance system uptime and maintenance costs. Duplicating an optimal policy for a single-component system to a multi-component system is not necessarily optimal, while a separate or sequential optimization of the maintenance and inventory decisions is also not guaranteed to yield the lowest costs. We therefore consider the joint optimization of condition-based maintenance and spares planning for multi-component systems. We formulate our model as a Markov Decision Process, and minimize the long-run average cost per time unit. A key insight from our numerical results is that the (s, S) inventory policy, popular in theory as well as practice, can be far from optimal for systems consisting of few components. Significant savings can be obtained by basing both the maintenance decisions and the timing of ordering spare components on the system's condition.","('Inventory', 'Maintenance', 'Markov Decision Process', 'Reliability', 'Spare parts')",joint condit base mainten inventori optim system multipl compon elsevi b v effici condit base mainten plan inventori control spare critic compon joint determin effect mainten strategi and therebi balanc system uptim mainten cost duplic optim polici singl compon system multi compon system necessarili optim separ sequenti optim mainten inventori decis also guarante yield lowest cost we therefor consid joint optim condit base mainten spare plan multi compon system we formul model markov decis process minim long run averag cost per time unit a key insight numer result s s inventori polici popular theori well practic far optim system consist compon signific save obtain base mainten decis time order spare compon system s condit inventori mainten markov decis process reliabl spare part
4318,"Hezarkhani, B.",36056339100,Optimal design of uptime-guarantee contracts under IGFR valuations and convex costs,2017,European Journal of Operational Research,256.0,2.0,556.0,566.0,8.0,10.1016/j.ejor.2016.06.032,https://www.scopus.com/inward/record.url?eid=2-s2.0-84979656542&partnerID=40&md5=ed650f54845e9f34849fece1f2122d27,Article,"All Open Access, Green","© 2016 Elsevier B.V.An uptime-guarantee contract commits a service provider to maintain the functionality of a customer's equipment at least for certain fraction of working time during a contracted period. This paper addresses the optimal design of uptime-guarantee contracts for the service provider when the customer's valuation of a contract with a given guaranteed uptime level has an Increasing Generalized Failure Rate (IGFR) distribution. We first consider the case where the service provider proposes only one contract and characterize the optimal contract in terms of price as well as guaranteed uptime level assuming that the service provider's cost function is convex. In the second part, the case where the service provider offers a menu of contracts is considered. Given the guaranteed uptime levels of different contracts in the menu, we calculate the corresponding optimal prices. We also give the necessary and sufficient conditions for the existence of optimal contract menus with positive expected profits.","('Contracts', 'Game theory', 'Maintenance', 'Pricing', 'Revenue management', 'Servitization')",optim design uptim guarante contract igfr valuat convex cost elsevi b v an uptim guarante contract commit servic provid maintain function custom s equip least certain fraction work time contract period this paper address optim design uptim guarante contract servic provid custom s valuat contract given guarante uptim level increas general failur rate igfr distribut we first consid case servic provid propos one contract character optim contract term price well guarante uptim level assum servic provid s cost function convex in second part case servic provid offer menu contract consid given guarante uptim level differ contract menu calcul correspond optim price we also give necessari suffici condit exist optim contract menus posit expect profit contract game theori mainten price revenu manag servit
4321,"Nguyen, D.T., Dijoux, Y., Fouladirad, M.",57190074694; 24474420500; 24278533800,Analytical properties of an imperfect repair model and application in preventive maintenance scheduling,2017,European Journal of Operational Research,256.0,2.0,439.0,453.0,49.0,10.1016/j.ejor.2016.06.026,https://www.scopus.com/inward/record.url?eid=2-s2.0-84978532577&partnerID=40&md5=1f9d937f946f4cb32c1d67fb7c7150b5,Article,,"© 2016 Elsevier B.V.The paper considers repairable systems under imperfect repair. The failure rate of a new system is assumed to follow a Weibull distribution and the repair efficiency is characterized by a Kijima type II virtual age model named Arithmetic Reduction of Age with infinite memory. An analytical approach to obtain the distribution of the inter-failure times is presented. The existence of a stationary regime is highlighted and the limiting distributions are explicitly derived. In this context, an optimal age-based preventive maintenance policy can be implemented. Three approaches are proposed, considering a static, a dynamic or a failure limit policy. Numerical simulations are presented to illustrate the policies.","('Imperfect repair', 'Limiting distribution', 'Preventive maintenance', 'Stationary regime', 'Virtual age')",analyt properti imperfect repair model applic prevent mainten schedul elsevi b v the paper consid repair system imperfect repair the failur rate new system assum follow weibul distribut repair effici character kijima type ii virtual age model name arithmet reduct age infinit memori an analyt approach obtain distribut inter failur time present the exist stationari regim highlight limit distribut explicit deriv in context optim age base prevent mainten polici implement three approach propos consid static dynam failur limit polici numer simul present illustr polici imperfect repair limit distribut prevent mainten stationari regim virtual age
4341,"Irawan, C.A., Ouelhadj, D., Jones, D., Stålhane, M., Sperstad, I.B.",55758572100; 6602367009; 54976650900; 36613559900; 24282176000,Optimisation of maintenance routing and scheduling for offshore wind farms,2017,European Journal of Operational Research,256.0,1.0,76.0,89.0,115.0,10.1016/j.ejor.2016.05.059,https://www.scopus.com/inward/record.url?eid=2-s2.0-84990174062&partnerID=40&md5=223d0261351b15b21d17d66e1f3eabe9,Article,"All Open Access, Green","© 2016 Elsevier B.V.An optimisation model and a solution method for maintenance routing and scheduling at offshore wind farms are proposed. The model finds the optimal schedule for maintaining the turbines and the optimal routes for the crew transfer vessels to service the turbines along with the number of technicians required for each vessel. The model takes into account multiple vessels, multiple periods (days), multiple Operation & Maintenance (O&M) bases, and multiple wind farms. We develop an algorithm based on the Dantzig–Wolfe decomposition method, where a mixed integer linear program is solved for each subset of turbines to generate all feasible routes and maintenance schedules for the vessels for each period. The routes have to consider several constraints such as weather conditions, the availability of vessels, and the number of technicians available at the O&M base. An integer linear program model is then proposed to find the optimal route configuration along with the maintenance schedules that minimise maintenance costs, including travel, technician and penalty costs. The computational experiments show that the proposed optimisation model and solution method find optimal solutions to the problem in reasonable computing times.","('Maintenance scheduling', 'Offshore wind farm', 'Routing problem')",optimis mainten rout schedul offshor wind farm elsevi b v an optimis model solut method mainten rout schedul offshor wind farm propos the model find optim schedul maintain turbin optim rout crew transfer vessel servic turbin along number technician requir vessel the model take account multipl vessel multipl period day multipl oper mainten o m base multipl wind farm we develop algorithm base dantzig wolf decomposit method mix integ linear program solv subset turbin generat feasibl rout mainten schedul vessel period the rout consid sever constraint weather condit avail vessel number technician avail o m base an integ linear program model propos find optim rout configur along mainten schedul minimis mainten cost includ travel technician penalti cost the comput experi show propos optimis model solut method find optim solut problem reason comput time mainten schedul offshor wind farm rout problem
4350,"Arts, J.",38360931200,A multi-item approach to repairable stocking and expediting in a fluctuating demand environment,2017,European Journal of Operational Research,256.0,1.0,102.0,115.0,16.0,10.1016/j.ejor.2016.06.003,https://www.scopus.com/inward/record.url?eid=2-s2.0-84977660320&partnerID=40&md5=6a07d0fabf81d50dc32e6ecda07249b0,Article,"All Open Access, Green","© 2016 Elsevier B.V.We consider a single inventory location where multiple types of repairable spare parts are kept for service and maintenance of several different fleets of assets. Demand for each part is a Markov modulated Poisson process (MMPP). Each fleet has a target for the maximum expected number of assets down for lack of a spare part. The inventory manager can meet this target by stocking repairables and by expediting the repair of parts. Expedited repairs have a shorter lead time. There are multiple repair shops (or departments) that handle the repair of parts and the load imposed on repair shops by expedited repairs is constrained. A dual-index policy makes stocking and expediting decisions that depend on demand fluctuations for each spare part type. We formulate the above problem as a non-linear non-convex integer programing problem and provide an algorithm based on column generation to compute feasible near optimal solutions and tight lower bounds. We show how to use the MMPP to model demand fluctuations in maintenance and other settings, including a moment fitting algorithm. We quantify the value of lead time flexibility and show that effective use of this flexibility can yield cost reductions of around 25 percent.","('Column generation', 'Inventory', 'Maintenance', 'Markov modulated Poisson process', 'Spare parts')",a multi item approach repair stock expedit fluctuat demand environ elsevi b v we consid singl inventori locat multipl type repair spare part kept servic mainten sever differ fleet asset demand part markov modul poisson process mmpp each fleet target maximum expect number asset lack spare part the inventori manag meet target stock repair expedit repair part expedit repair shorter lead time there multipl repair shop or depart handl repair part load impos repair shop expedit repair constrain a dual index polici make stock expedit decis depend demand fluctuat spare part type we formul problem non linear non convex integ program problem provid algorithm base column generat comput feasibl near optim solut tight lower bound we show use mmpp model demand fluctuat mainten set includ moment fit algorithm we quantifi valu lead time flexibl show effect use flexibl yield cost reduct around percent column generat inventori mainten markov modul poisson process spare part
4416,"Lalla-Ruiz, E., Voß, S.",55255221400; 55785313900,Modeling the Parallel Machine Scheduling Problem with Step Deteriorating Jobs,2016,European Journal of Operational Research,255.0,1.0,21.0,33.0,21.0,10.1016/j.ejor.2016.04.010,https://www.scopus.com/inward/record.url?eid=2-s2.0-84973545274&partnerID=40&md5=afdf19627c0e34ef897278f121693c17,Article,,"© 2016 Elsevier B.V. All rights reserved.This paper addresses the Parallel Machine Scheduling Problem with Step Deteriorating Jobs. This problem arises from real environments in which processing a job later than at a specific time may require an extra processing time. This time-dependent variation is known in the literature as step deterioration and has several practical applications (production planning, computer programming, medicine treatment, equipment maintenance, etc.). In the problem tackled in this work we aim to minimize the total completion time on identical parallel machines where each job has a deteriorating date and observes a step function for the processing time. For solving it, we propose two novel mathematical models based on the Set Partitioning Problem (SPP) that improve the unique model proposed in the literature. The computational performance of these models implemented in a general purpose solver allows to compete with the best algorithms proposed in the literature. Finally, we provide some insights for managing similar SPP formulations when large-sized instances have to be addressed.","('Machine scheduling', 'Mathematical programming', 'Parallel machine scheduling with step deteriorating jobs', 'Set-partitioning formulations', 'Step deterioration')",model parallel machin schedul problem step deterior job elsevi b v all right reserv this paper address parallel machin schedul problem step deterior job this problem aris real environ process job later specif time may requir extra process time this time depend variat known literatur step deterior sever practic applic product plan comput program medicin treatment equip mainten etc in problem tackl work aim minim total complet time ident parallel machin job deterior date observ step function process time for solv it propos two novel mathemat model base set partit problem spp improv uniqu model propos literatur the comput perform model implement general purpos solver allow compet best algorithm propos literatur final provid insight manag similar spp formul larg size instanc address machin schedul mathemat program parallel machin schedul step deterior job set partit formul step deterior
